date,id,drone.number,it.distance,treatment
2018-04-09,2.1,2,2.672,zone.2
2018-04-09,2.1,3,2.85,zone.2
2018-04-09,2.1,4,2.855,zone.2
2018-05-02,3.3,1,2.414,zone.3
2018-05-02,3.3,2,2.707,zone.3
2018-05-02,3.3,3,2.668,zone.3
2018-05-02,3.3,4,2.841,zone.3
2018-05-02,2.2,1,2.84,zone.2
2018-05-02,2.2,2,3.414,zone.2
2018-05-02,2.2,3,3.054,zone.2
2018-05-02,2.2,4,3.636,zone.2
2018-04-24,3.4,1,2.867,zone.3
2018-03-26,2.6,1,3.152,zone.2
2018-03-26,2.6,2,2.725,zone.2
2018-03-26,2.6,3,2.762,zone.2
2018-03-26,2.6,4,2.938,zone.2
2018-03-26,2.6,5,2.761,zone.2
2018-04-24,2.5,1,2.415,zone.2
2018-04-24,2.5,2,2.688,zone.2
2018-04-24,2.5,3,2.394,zone.2
2018-04-24,4.6,1,2.71,zone.4
2018-04-24,4.6,2,2.852,zone.4
2018-04-24,4.6,3,2.295,zone.4
2018-04-24,3.5,1,3.211,zone.3
2018-04-24,3.5,2,2.511,zone.3
2018-04-24,3.5,3,2.631,zone.3
2018-04-24,3.5,4,3.315,zone.3
2018-04-24,3.5,5,2.769,zone.3
2018-05-02,1.6,1,2.429,zone.1
2018-05-02,1.6,2,2.867,zone.1
2018-05-02,1.6,3,2.902,zone.1
2018-05-02,1.6,4,3.301,zone.1
2018-05-02,4.6,1,2.816,zone.4
2018-05-02,4.6,2,2.895,zone.4
2018-05-02,2.7,1,2.758,zone.2
2018-05-02,2.7,2,3.015,zone.2
2018-05-02,2.5,1,3.166,zone.2
2018-05-02,2.5,2,3.133,zone.2
2018-05-02,4.1,1,3.032,zone.4
2018-05-02,4.1,2,3.079,zone.4
2018-05-02,3.7,1,2.13,zone.3
2018-05-02,3.7,2,2.744,zone.3
2018-05-02,3.7,3,2.165,zone.3
2018-05-02,3.7,4,2.301,zone.3
2018-05-02,3.5,1,2.746,zone.3
2018-05-02,3.5,2,2.133,zone.3
2018-05-02,3.5,3,2.3,zone.3
2018-05-02,3.5,4,2.913,zone.3
2018-04-24,4.4,1,2.977,zone.4
2018-04-24,4.4,2,3.267,zone.4
2018-04-24,2.1,1,2.785,zone.2
2018-04-24,2.1,2,2.603,zone.2
2018-04-24,1.6,1,2.595,zone.1
2018-04-24,1.6,2,2.793,zone.1
2018-04-24,1.6,3,2.573,zone.1
2018-04-24,1.6,4,2.802,zone.1
2018-05-02,3.5,1,3.063,zone.3
2018-05-02,3.5,2,3.112,zone.3
2018-05-02,3.5,3,2.584,zone.3
2018-05-02,3.5,4,3.751,zone.3
2018-05-02,3.5,5,3.794,zone.3
2018-04-24,2.6,1,3.369,zone.2
2018-04-24,2.6,2,2.814,zone.2
2018-04-24,2.6,3,3.33,zone.2
2018-04-24,2.6,4,2.164,zone.2
2018-04-24,2.6,5,2.437,zone.2
2018-04-24,2.7,1,2.396,zone.2
2018-04-24,2.7,2,3.069,zone.2
2018-04-24,2.7,3,2.29,zone.2
2018-04-24,2.2,1,2.743,zone.2
2018-04-24,2.2,2,2.686,zone.2
2018-05-02,3.2,1,2.729,zone.3
2018-05-02,3.2,2,2.108,zone.3
2018-05-02,3.2,3,1.947,zone.3
2018-05-02,3.2,4,2.214,zone.3
2018-05-02,2.6,1,2.442,zone.2
2018-03-29,1.7,1,2.727,zone.1
2018-03-26,3.5,1,3.118,zone.3
2018-03-26,3.5,2,3.266,zone.3
2018-03-26,3.5,3,2.671,zone.3
2018-03-26,3.5,4,3.145,zone.3
2018-03-26,3.5,5,2.862,zone.3
2018-03-26,3.5,6,2.97,zone.3
2018-05-02,2.2,1,2.972,zone.2
2018-05-02,2.2,2,3.126,zone.2
2018-05-02,2.2,3,3.115,zone.2
2018-04-24,3.7,1,3.08,zone.3
2018-03-12,1.7,1,2.431,zone.1
2018-04-24,4.2,1,2.38,zone.4
2018-04-24,4.2,2,2.775,zone.4
2018-04-24,4.2,3,3.094,zone.4
2018-04-24,4.2,4,2.709,zone.4
2018-04-24,4.2,5,2.957,zone.4
2018-04-01,4.1,1,2.48,zone.4
2018-04-01,4.1,2,2.662,zone.4
2018-04-01,4.1,3,3.129,zone.4
2018-04-01,4.1,4,3.022,zone.4
2018-04-01,4.1,5,3.034,zone.4
2018-03-29,2.5,1,2.752,zone.2
2018-03-29,2.5,2,2.917,zone.2
2018-03-29,2.5,3,2.719,zone.2
2018-03-29,2.5,4,2.666,zone.2
2018-03-26,2.3,1,2.697,zone.2
2018-03-26,3.7,1,3.156,zone.3
2018-03-26,3.7,2,2.962,zone.3
2018-03-26,3.7,3,3.599,zone.3
2018-03-26,3.1,1,3.434,zone.3
2018-04-01,2.3,1,2.851,zone.2
2018-04-01,2.3,2,3.307,zone.2
2018-03-29,3.3,1,2.926,zone.3
2018-03-29,3.3,2,3.245,zone.3
2018-03-15,1.1,1,2.038,zone.1
2018-03-29,1.6,1,3.163,zone.1
2018-04-01,2.1,1,2.651,zone.2
2018-04-01,2.1,2,2.995,zone.2
2018-04-01,2.1,3,2.954,zone.2
2018-04-01,2.1,4,2.661,zone.2
2018-04-01,2.1,5,3.067,zone.2
2018-04-01,4.6,1,3.38,zone.4
2018-04-01,4.6,2,2.651,zone.4
2018-04-01,4.6,3,2.914,zone.4
2018-04-01,4.6,4,2.779,zone.4
2018-04-01,4.6,5,2.975,zone.4
2018-04-01,4.4,1,2.826,zone.4
2018-04-01,4.4,2,2.869,zone.4
2018-04-01,4.4,3,2.913,zone.4
2018-04-01,4.4,4,3.062,zone.4
2018-04-01,4.4,5,2.457,zone.4
2018-03-12,2.3,1,1.922,zone.2
2018-04-01,3.3,1,3.016,zone.3
2018-04-01,3.3,2,3.307,zone.3
2018-05-02,2.6,1,2.468,zone.2
2018-05-02,2.6,2,3.007,zone.2
2018-04-24,3.3,1,3.124,zone.3
2018-04-24,3.3,2,3.228,zone.3
2018-04-24,3.3,3,2.812,zone.3
2018-05-02,2.6,1,3.127,zone.2
2018-05-02,2.6,2,2.519,zone.2
